bigram,sadness,joy,love,anger,fear,surprise
i stand,0.03286625072360039,0.6205083727836609,0.005959461908787489,0.31740549206733704,0.020320583134889603,0.0029398754704743624
i feel,0.008254420012235641,0.9858514666557312,0.0029969692695885897,0.00042646104702726007,0.0015617598546668887,0.0009089657105505466
i literally,0.012756088748574257,0.04198284447193146,0.0016674695070832968,0.9232261180877686,0.017761878669261932,0.0026056410279124975
i just,0.0796794593334198,0.0369703434407711,0.0012322008842602372,0.7282772064208984,0.15092599391937256,0.002914838958531618
i really,0.05498937517404556,0.6591711640357971,0.0038123419508337975,0.24554620683193207,0.03204923868179321,0.004431682173162699
i believed,0.002903256332501769,0.9836940169334412,0.0033988903742283583,0.007070260122418404,0.002245931886136532,0.0006874717073515058
i wanted,0.006121672689914703,0.0033965958282351494,0.006551166530698538,0.9771320223808289,0.006269749253988266,0.0005288381944410503
i ranted,0.0008147152839228511,0.0006434206152334809,0.00027610911638475955,0.9965299963951111,0.0014900807291269302,0.0002457020746078342
i mention,0.06666561216115952,0.3599446713924408,0.006352053489536047,0.5454506278038025,0.01819133758544922,0.0033956686966121197
i i,0.02189892716705799,0.04441399499773979,0.002583716996014118,0.9062754511833191,0.02318626269698143,0.0016415700083598495
i was,0.03838302940130234,0.17823368310928345,0.0042181722819805145,0.7183268070220947,0.056124016642570496,0.004714371170848608
i havent,0.3043806850910187,0.13048972189426422,0.005116562359035015,0.5163496136665344,0.040914978832006454,0.0027484281454235315
i am,0.08520625531673431,0.4460981488227844,0.010425317101180553,0.42083099484443665,0.0341038778424263,0.0033354887273162603
i have,0.06016988307237625,0.5646027326583862,0.008900350891053677,0.33552470803260803,0.02612490765750408,0.004677503369748592
i truly,0.001989021897315979,0.9929242134094238,0.0016572268214076757,0.0021487646736204624,0.0006259141373448074,0.0006547711091116071
i still,0.03622545301914215,0.22165167331695557,0.005126659292727709,0.7234712243080139,0.011707358062267303,0.00181765912566334
i thought,0.004993785172700882,0.01471252553164959,0.0010523044038563967,0.2011980563402176,0.7718514800071716,0.006191871128976345
i exhausted,0.9972568154335022,0.000840195280034095,0.00019148523279000074,0.00058809167239815,0.0009104508790187538,0.0002130637876689434
i held,0.01854352094233036,0.20045940577983856,0.005364782176911831,0.6968879699707031,0.07602221518754959,0.0027220279444009066
i look,0.11581268161535263,0.25399520993232727,0.006069700699299574,0.5591028332710266,0.056352872401475906,0.008666749112308025
i want,0.04027887433767319,0.18783418834209442,0.05565961077809334,0.7007163166999817,0.013397987000644207,0.002112921793013811
i left,0.4748554527759552,0.012174083851277828,0.0015197471948340535,0.5034902691841125,0.006947237532585859,0.0010131299495697021
i didnt,0.019800757989287376,0.022007524967193604,0.0011388416169211268,0.9463626742362976,0.00984758511185646,0.0008425125852227211
i cant,0.04372940957546234,0.48381370306015015,0.0057687475346028805,0.3877372741699219,0.07397916913032532,0.004971757065504789
i stop,0.16056343913078308,0.09012456238269806,0.0035767515655606985,0.6084549427032471,0.13299308717250824,0.004287180490791798
i did,0.043383385986089706,0.6294189691543579,0.006316670216619968,0.29760852456092834,0.01891426369547844,0.004358227830380201
i know,0.038753192871809006,0.8088929057121277,0.010816242545843124,0.1207900121808052,0.018444087356328964,0.0023035553749650717
i do,0.03852874040603638,0.7711358070373535,0.009027346037328243,0.1630135178565979,0.014897430315613747,0.003397120628505945
